system_id,brand,list_name,display_name,body,lens,teleconverter,actual_focal_length_mm,actual_f_stop,equiv_focal_length_mm,equiv_f_stop,system_weight_g,system_price_chf,price_checked_date,price_component_ids,price_basis
r5ii-rf100400,Canon,Canon — EOS R5 Mark II — RF100-400mm F5.6-8 IS USM @ 400 mm,Canon — EOS R5 Mark II — RF100-400mm F5.6-8 IS USM @ 400 mm,Canon EOS R5 Mark II,RF100-400mm F5.6-8 IS USM,none,400,8,400,8,1305,3499.6,2026-09-16,body-r5ii|lens-rf100400,component sum
r5ii-rf100400-14x,Canon,Canon — EOS R5 Mark II — RF100-400mm F5.6-8 IS USM @ 400 mm + Extender RF 1.4×,Canon — EOS R5 Mark II — RF100-400mm F5.6-8 IS USM @ 400 mm + Extender RF 1.4×,Canon EOS R5 Mark II,RF100-400mm F5.6-8 IS USM,Extender RF 1.4x,560,11.2,560,11.2,1530,3922.65,2026-09-16,body-r5ii|lens-rf100400|tc-rf14,component sum
r5ii-rf100500-500,Canon,Canon — EOS R5 Mark II — RF100-500mm F4.5-7.1 L IS USM @ 500 mm,Canon — EOS R5 Mark II — RF100-500mm F4.5-7.1 L IS USM @ 500 mm,Canon EOS R5 Mark II,RF100-500mm F4.5-7.1 L IS USM,none,500,7.1,500,7.1,2035,5194.5,2026-08-28,body-r5ii|lens-rf100500,component sum
r5ii-rf100500-14x,Canon,Canon — EOS R5 Mark II — RF100-500mm F4.5-7.1 L IS USM @ 500 mm + Extender RF 1.4×,Canon — EOS R5 Mark II — RF100-500mm F4.5-7.1 L IS USM @ 500 mm + Extender RF 1.4×,Canon EOS R5 Mark II,RF100-500mm F4.5-7.1 L IS USM,Extender RF 1.4x,700,9.94,700,9.94,2260,5617.55,2026-08-28,body-r5ii|lens-rf100500|tc-rf14,component sum
r5ii-rf200800-800,Canon,Canon — EOS R5 Mark II — RF200-800mm F6.3-9 IS USM @ 800 mm,Canon — EOS R5 Mark II — RF200-800mm F6.3-9 IS USM @ 800 mm,Canon EOS R5 Mark II,RF200-800mm F6.3-9 IS USM,none,800,9,800,9,2730,4584.1,2026-08-28,body-r5ii|lens-rf200800,component sum
r5ii-rf200800-800-14x,Canon,Canon — EOS R5 Mark II — RF200-800mm F6.3-9 IS USM @ 800 mm + Extender RF 1.4×,Canon — EOS R5 Mark II — RF200-800mm F6.3-9 IS USM @ 800 mm + Extender RF 1.4×,Canon EOS R5 Mark II,RF200-800mm F6.3-9 IS USM,Extender RF 1.4x,1120,12.6,1120,12.6,2955,5007.15,2026-09-16,body-r5ii|lens-rf200800|tc-rf14,component sum
r5ii-rf600f11,Canon,Canon — EOS R5 Mark II — RF600mm F11 IS STM,Canon — EOS R5 Mark II — RF600mm F11 IS STM,Canon EOS R5 Mark II,RF600mm F11 IS STM,none,600,11,600,11,1600,3553.9,2026-08-28,body-r5ii|lens-rf600f11,component sum
r5ii-rf600f11-14x,Canon,Canon — EOS R5 Mark II — RF600mm F11 IS STM + Extender RF 1.4×,Canon — EOS R5 Mark II — RF600mm F11 IS STM + Extender RF 1.4×,Canon EOS R5 Mark II,RF600mm F11 IS STM,Extender RF 1.4x,840,15.4,840,15.4,1825,3976.95,2026-09-16,body-r5ii|lens-rf600f11|tc-rf14,component sum
r5ii-rf800f11,Canon,Canon — EOS R5 Mark II — RF800mm F11 IS STM,Canon — EOS R5 Mark II — RF800mm F11 IS STM,Canon EOS R5 Mark II,RF800mm F11 IS STM,none,800,11,800,11,1930,3664.85,2026-08-28,body-r5ii|lens-rf800f11,component sum
r5ii-rf800f11-14x,Canon,Canon — EOS R5 Mark II — RF800mm F11 IS STM + Extender RF 1.4×,Canon — EOS R5 Mark II — RF800mm F11 IS STM + Extender RF 1.4×,Canon EOS R5 Mark II,RF800mm F11 IS STM,Extender RF 1.4x,1120,15.4,1120,15.4,2155,4087.9,2026-09-16,body-r5ii|lens-rf800f11|tc-rf14,component sum
r5ii-rf400f28,Canon,Canon — EOS R5 Mark II — RF400mm F2.8 L IS USM,Canon — EOS R5 Mark II — RF400mm F2.8 L IS USM,Canon EOS R5 Mark II,RF400mm F2.8 L IS USM,none,400,2.8,400,2.8,3560,15298.9,2026-09-16,body-r5ii|lens-rf400f28,component sum
r5ii-rf400f28-14x,Canon,Canon — EOS R5 Mark II — RF400mm F2.8 L IS USM + Extender RF 1.4×,Canon — EOS R5 Mark II — RF400mm F2.8 L IS USM + Extender RF 1.4×,Canon EOS R5 Mark II,RF400mm F2.8 L IS USM,Extender RF 1.4x,560,3.92,560,3.92,3785,15721.95,2026-09-16,body-r5ii|lens-rf400f28|tc-rf14,component sum
r5ii-rf600f4,Canon,Canon — EOS R5 Mark II — RF600mm F4 L IS USM,Canon — EOS R5 Mark II — RF600mm F4 L IS USM,Canon EOS R5 Mark II,RF600mm F4 L IS USM,none,600,4,600,4,3760,15298.9,2026-08-28,body-r5ii|lens-rf600f4,component sum
r5ii-rf600f4-14x,Canon,Canon — EOS R5 Mark II — RF600mm F4 L IS USM + Extender RF 1.4×,Canon — EOS R5 Mark II — RF600mm F4 L IS USM + Extender RF 1.4×,Canon EOS R5 Mark II,RF600mm F4 L IS USM,Extender RF 1.4x,840,5.6,840,5.6,3985,15721.95,2026-09-16,body-r5ii|lens-rf600f4|tc-rf14,component sum
r5ii-rf800f56,Canon,Canon — EOS R5 Mark II — RF800mm F5.6 L IS USM,Canon — EOS R5 Mark II — RF800mm F5.6 L IS USM,Canon EOS R5 Mark II,RF800mm F5.6 L IS USM,none,800,5.6,800,5.6,3810,22648.9,2026-09-16,body-r5ii|lens-rf800f56,component sum
r5ii-rf800f56-14x,Canon,Canon — EOS R5 Mark II — RF800mm F5.6 L IS USM + Extender RF 1.4×,Canon — EOS R5 Mark II — RF800mm F5.6 L IS USM + Extender RF 1.4×,Canon EOS R5 Mark II,RF800mm F5.6 L IS USM,Extender RF 1.4x,1120,7.84,1120,7.84,4035,23071.95,2026-09-16,body-r5ii|lens-rf800f56|tc-rf14,component sum
xh2s-xf100400,Fujifilm,Fujifilm — X-H2S — XF100-400mmF4.5-5.6 R LM OIS WR @ 400 mm,Fujifilm — X-H2S — XF100-400mmF4.5-5.6 R LM OIS WR @ 400 mm,Fujifilm X-H2S,XF100-400mmF4.5-5.6 R LM OIS WR,none,400,5.6,600,8.4,2035,3065,2026-09-16,body-xh2s|lens-xf100400,component sum
xh2s-xf100400-14x,Fujifilm,Fujifilm — X-H2S — XF100-400mmF4.5-5.6 R LM OIS WR @ 400 mm + XF1.4X TC WR,Fujifilm — X-H2S — XF100-400mmF4.5-5.6 R LM OIS WR @ 400 mm + XF1.4X TC WR,Fujifilm X-H2S,XF100-400mmF4.5-5.6 R LM OIS WR,XF1.4X TC WR,560,7.84,840,11.76,2165,3411,2026-09-16,body-xh2s|lens-xf100400|tc-xf14,component sum
xh2s-150600-600,Fujifilm,Fujifilm — X-H2S — XF150-600mmF5.6-8 R LM OIS WR @ 600 mm,Fujifilm — X-H2S — XF150-600mmF5.6-8 R LM OIS WR @ 600 mm,Fujifilm X-H2S,XF150-600mmF5.6-8 R LM OIS WR,none,600,8,900,12,2265,3527,2026-08-28,body-xh2s|lens-xf150600,component sum
xh2s-150600-600-14x,Fujifilm,Fujifilm — X-H2S — XF150-600mmF5.6-8 R LM OIS WR @ 600 mm + XF1.4X TC WR,Fujifilm — X-H2S — XF150-600mmF5.6-8 R LM OIS WR @ 600 mm + XF1.4X TC WR,Fujifilm X-H2S,XF150-600mmF5.6-8 R LM OIS WR,XF1.4X TC WR,840,11.2,1260,16.8,2395,3873,2026-09-16,body-xh2s|lens-xf150600|tc-xf14,component sum
xh2s-xf400f45,Fujifilm,Fujifilm — X-H2S — XF400mmF4.5 R LM OIS WR,Fujifilm — X-H2S — XF400mmF4.5 R LM OIS WR,Fujifilm X-H2S,XF400mmF4.5 R LM OIS WR,none,400,4.5,600,6.75,1905,4595,2026-09-16,body-xh2s|lens-xf400f45,component sum
xh2s-xf400f45-14x,Fujifilm,Fujifilm — X-H2S — XF400mmF4.5 R LM OIS WR + XF1.4X TC WR,Fujifilm — X-H2S — XF400mmF4.5 R LM OIS WR + XF1.4X TC WR,Fujifilm X-H2S,XF400mmF4.5 R LM OIS WR,XF1.4X TC WR,560,6.3,840,9.45,2035,4941,2026-09-16,body-xh2s|lens-xf400f45|tc-xf14,component sum
xh2s-xf500f56,Fujifilm,Fujifilm — X-H2S — XF500mmF5.6 R LM OIS WR,Fujifilm — X-H2S — XF500mmF5.6 R LM OIS WR,Fujifilm X-H2S,XF500mmF5.6 R LM OIS WR,none,500,5.6,750,8.4,1995,4577,2026-08-28,body-xh2s|lens-xf500,component sum
xh2s-xf500f56-14x,Fujifilm,Fujifilm — X-H2S — XF500mmF5.6 R LM OIS WR + XF1.4X TC WR,Fujifilm — X-H2S — XF500mmF5.6 R LM OIS WR + XF1.4X TC WR,Fujifilm X-H2S,XF500mmF5.6 R LM OIS WR,XF1.4X TC WR,700,8,1050,12,2125,4923,2026-09-16,body-xh2s|lens-xf500|tc-xf14,component sum
xh2s-tamron150500,Fujifilm,Fujifilm — X-H2S — Tamron 150-500mm F5-6.7 Di III VC VXD X @ 500 mm,Fujifilm — X-H2S — Tamron 150-500mm F5-6.7 Di III VC VXD X @ 500 mm,Fujifilm X-H2S,Tamron 150-500mm F5-6.7 Di III VC VXD X,none,500,6.7,750,10.05,2370,2968.55,2026-09-16,body-xh2s|lens-tamron150500-x,component sum; no supported external 1.4x TC
z8-z100400,Nikon,Nikon — Z8 — NIKKOR Z 100-400mm f/4.5-5.6 VR S @ 400 mm,Nikon — Z8 — NIKKOR Z 100-400mm f/4.5-5.6 VR S @ 400 mm,Nikon Z8,NIKKOR Z 100-400mm f/4.5-5.6 VR S,none,400,5.6,400,5.6,2265,4630.95,2026-09-16,body-z8|lens-z100400,component sum
z8-z100400-14x,Nikon,Nikon — Z8 — NIKKOR Z 100-400mm f/4.5-5.6 VR S @ 400 mm + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 100-400mm f/4.5-5.6 VR S @ 400 mm + Z TC-1.4×,Nikon Z8,NIKKOR Z 100-400mm f/4.5-5.6 VR S,Z TC-1.4x,560,7.84,560,7.84,2485,5085.7,2026-09-16,body-z8|lens-z100400|tc-z14,component sum
z8-180600-600,Nikon,Nikon — Z8 — NIKKOR Z 180-600mm f/5.6-6.3 VR @ 600 mm,Nikon — Z8 — NIKKOR Z 180-600mm f/5.6-6.3 VR @ 600 mm,Nikon Z8,NIKKOR Z 180-600mm f/5.6-6.3 VR,none,600,6.3,600,6.3,2865,3761.5,2026-08-28,body-z8|lens-z180600,component sum
z8-180600-14x,Nikon,Nikon — Z8 — NIKKOR Z 180-600mm f/5.6-6.3 VR @ 600 mm + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 180-600mm f/5.6-6.3 VR @ 600 mm + Z TC-1.4×,Nikon Z8,NIKKOR Z 180-600mm f/5.6-6.3 VR,Z TC-1.4x,840,8.82,840,8.82,3085,4216.25,2026-08-28,body-z8|lens-z180600|tc-z14,component sum
z8-400f45,Nikon,Nikon — Z8 — NIKKOR Z 400mm f/4.5 VR S,Nikon — Z8 — NIKKOR Z 400mm f/4.5 VR S,Nikon Z8,NIKKOR Z 400mm f/4.5 VR S,none,400,4.5,400,4.5,2070,4980.95,2026-09-16,body-z8|lens-z400f45,component sum
z8-400f45-14x,Nikon,Nikon — Z8 — NIKKOR Z 400mm f/4.5 VR S + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 400mm f/4.5 VR S + Z TC-1.4×,Nikon Z8,NIKKOR Z 400mm f/4.5 VR S,Z TC-1.4x,560,6.3,560,6.3,2290,5435.7,2026-08-28,body-z8|lens-z400f45|tc-z14,component sum
z8-600f63,Nikon,Nikon — Z8 — NIKKOR Z 600mm f/6.3 VR S,Nikon — Z8 — NIKKOR Z 600mm f/6.3 VR S,Nikon Z8,NIKKOR Z 600mm f/6.3 VR S,none,600,6.3,600,6.3,2300,6480.95,2026-08-28,body-z8|lens-z600f63,component sum
z8-600f63-14x,Nikon,Nikon — Z8 — NIKKOR Z 600mm f/6.3 VR S + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 600mm f/6.3 VR S + Z TC-1.4×,Nikon Z8,NIKKOR Z 600mm f/6.3 VR S,Z TC-1.4x,840,8.82,840,8.82,2520,6935.7,2026-08-28,body-z8|lens-z600f63|tc-z14,component sum
z8-800f63,Nikon,Nikon — Z8 — NIKKOR Z 800mm f/6.3 VR S,Nikon — Z8 — NIKKOR Z 800mm f/6.3 VR S,Nikon Z8,NIKKOR Z 800mm f/6.3 VR S,none,800,6.3,800,6.3,3295,7280.95,2026-08-28,body-z8|lens-z800f63,component sum
z8-800f63-14x,Nikon,Nikon — Z8 — NIKKOR Z 800mm f/6.3 VR S + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 800mm f/6.3 VR S + Z TC-1.4×,Nikon Z8,NIKKOR Z 800mm f/6.3 VR S,Z TC-1.4x,1120,8.82,1120,8.82,3515,7735.7,2026-09-16,body-z8|lens-z800f63|tc-z14,component sum
z8-400f28tc,Nikon,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + built-in TC disengaged,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + built-in TC disengaged,Nikon Z8,NIKKOR Z 400mm f/2.8 TC VR S,TC disengaged,400,2.8,400,2.8,3860,13682.95,2026-08-28,body-z8|lens-z400f28tc,component sum
z8-400f28tc-engaged,Nikon,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + built-in 1.4× TC engaged,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + built-in 1.4× TC engaged,Nikon Z8,NIKKOR Z 400mm f/2.8 TC VR S,built-in 1.4x engaged,560,4,560,4,3860,13682.95,2026-08-28,body-z8|lens-z400f28tc,component sum
z8-400f28tc-14x,Nikon,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + Z TC-1.4× (built-in TC disengaged),Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + Z TC-1.4× (built-in TC disengaged),Nikon Z8,NIKKOR Z 400mm f/2.8 TC VR S,Z TC-1.4x; built-in TC disengaged,560,4,560,4,4080,14137.7,2026-09-16,body-z8|lens-z400f28tc|tc-z14,component sum
z8-400f28tc-engaged-14x,Nikon,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + built-in 1.4× TC + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 400mm f/2.8 TC VR S + built-in 1.4× TC + Z TC-1.4×,Nikon Z8,NIKKOR Z 400mm f/2.8 TC VR S,Z TC-1.4x; built-in 1.4x engaged,784,5.6,784,5.6,4080,14137.7,2026-09-16,body-z8|lens-z400f28tc|tc-z14,component sum; built-in and external 1.4x teleconverters combined
z8-600f4tc,Nikon,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + built-in TC disengaged,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + built-in TC disengaged,Nikon Z8,NIKKOR Z 600mm f/4 TC VR S,TC disengaged,600,4,600,4,4170,15882.95,2026-08-28,body-z8|lens-z600f4tc,component sum
z8-600f4tc-engaged,Nikon,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + built-in 1.4× TC engaged,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + built-in 1.4× TC engaged,Nikon Z8,NIKKOR Z 600mm f/4 TC VR S,built-in 1.4x engaged,840,5.6,840,5.6,4170,15882.95,2026-08-28,body-z8|lens-z600f4tc,component sum
z8-600f4tc-14x,Nikon,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + Z TC-1.4× (built-in TC disengaged),Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + Z TC-1.4× (built-in TC disengaged),Nikon Z8,NIKKOR Z 600mm f/4 TC VR S,Z TC-1.4x; built-in TC disengaged,840,5.6,840,5.6,4390,16337.7,2026-09-16,body-z8|lens-z600f4tc|tc-z14,component sum
z8-600f4tc-engaged-14x,Nikon,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + built-in 1.4× TC + Z TC-1.4×,Nikon — Z8 — NIKKOR Z 600mm f/4 TC VR S + built-in 1.4× TC + Z TC-1.4×,Nikon Z8,NIKKOR Z 600mm f/4 TC VR S,Z TC-1.4x; built-in 1.4x engaged,1176,8,1176,8,4390,16337.7,2026-09-16,body-z8|lens-z600f4tc|tc-z14,component sum; built-in and external 1.4x teleconverters combined
z8-tamron150500,Nikon,Nikon — Z8 — Tamron 150-500mm F5-6.7 Di III VC VXD @ 500 mm,Nikon — Z8 — Tamron 150-500mm F5-6.7 Di III VC VXD @ 500 mm,Nikon Z8,Tamron 150-500mm F5-6.7 Di III VC VXD,none,500,6.7,500,6.7,2550,3340.95,2026-09-16,body-z8|lens-tamron150500-z,component sum; no supported external 1.4x TC
a1ii-fe100400b,Sony,Sony — Alpha 1 II — FE 100-400mm F5.6-8 OSS @ 400 mm,Sony — Alpha 1 II — FE 100-400mm F5.6-8 OSS @ 400 mm,Sony Alpha 1 II,FE 100-400mm F5.6-8 OSS,none,400,8,400,8,1392,7108.75,2026-09-16,body-a1ii|lens-fe100400b,component sum
a1ii-fe100400b-14x,Sony,Sony — Alpha 1 II — FE 100-400mm F5.6-8 OSS @ 400 mm + FE 1.4×,Sony — Alpha 1 II — FE 100-400mm F5.6-8 OSS @ 400 mm + FE 1.4×,Sony Alpha 1 II,FE 100-400mm F5.6-8 OSS,FE 1.4x,560,11.2,560,11.2,1559,7545.55,2026-09-16,body-a1ii|lens-fe100400b|tc-sony14,component sum
a1ii-fe100400gm,Sony,Sony — Alpha 1 II — FE 100-400mm F4.5-5.6 GM OSS @ 400 mm,Sony — Alpha 1 II — FE 100-400mm F4.5-5.6 GM OSS @ 400 mm,Sony Alpha 1 II,FE 100-400mm F4.5-5.6 GM OSS,none,400,5.6,400,5.6,2133,8116.95,2026-09-16,body-a1ii|lens-fe100400gm,component sum
a1ii-fe100400gm-14x,Sony,Sony — Alpha 1 II — FE 100-400mm F4.5-5.6 GM OSS @ 400 mm + FE 1.4×,Sony — Alpha 1 II — FE 100-400mm F4.5-5.6 GM OSS @ 400 mm + FE 1.4×,Sony Alpha 1 II,FE 100-400mm F4.5-5.6 GM OSS,FE 1.4x,560,7.84,560,7.84,2300,8553.75,2026-09-16,body-a1ii|lens-fe100400gm|tc-sony14,component sum
a1ii-fe100400mc,Sony,Sony — Alpha 1 II — FE 100-400mm F4.5 GM OSS @ 400 mm,Sony — Alpha 1 II — FE 100-400mm F4.5 GM OSS @ 400 mm,Sony Alpha 1 II,FE 100-400mm F4.5 GM OSS,none,400,4.5,400,4.5,2578,10179.55,2026-09-16,body-a1ii|lens-fe100400mc,component sum
a1ii-fe100400mc-14x,Sony,Sony — Alpha 1 II — FE 100-400mm F4.5 GM OSS @ 400 mm + FE 1.4×,Sony — Alpha 1 II — FE 100-400mm F4.5 GM OSS @ 400 mm + FE 1.4×,Sony Alpha 1 II,FE 100-400mm F4.5 GM OSS,FE 1.4x,560,6.3,560,6.3,2745,10616.35,2026-09-16,body-a1ii|lens-fe100400mc|tc-sony14,component sum
a1ii-200600-600,Sony,Sony — Alpha 1 II — FE 200-600mm F5.6-6.3 G OSS @ 600 mm,Sony — Alpha 1 II — FE 200-600mm F5.6-6.3 G OSS @ 600 mm,Sony Alpha 1 II,FE 200-600mm F5.6-6.3 G OSS,none,600,6.3,600,6.3,2858,7673.33,2026-08-28,body-a1ii|lens-fe200600,component sum
a1ii-200600-14x,Sony,Sony — Alpha 1 II — FE 200-600mm F5.6-6.3 G OSS @ 600 mm + FE 1.4×,Sony — Alpha 1 II — FE 200-600mm F5.6-6.3 G OSS @ 600 mm + FE 1.4×,Sony Alpha 1 II,FE 200-600mm F5.6-6.3 G OSS,FE 1.4x,840,8.82,840,8.82,3025,8110.13,2026-08-28,body-a1ii|lens-fe200600|tc-sony14,component sum
a1ii-300f28,Sony,Sony — Alpha 1 II — FE 300mm F2.8 GM OSS,Sony — Alpha 1 II — FE 300mm F2.8 GM OSS,Sony Alpha 1 II,FE 300mm F2.8 GM OSS,none,300,2.8,300,2.8,2213,12409,2026-08-28,body-a1ii|lens-fe300f28,component sum
a1ii-300f28-14x,Sony,Sony — Alpha 1 II — FE 300mm F2.8 GM OSS + FE 1.4×,Sony — Alpha 1 II — FE 300mm F2.8 GM OSS + FE 1.4×,Sony Alpha 1 II,FE 300mm F2.8 GM OSS,FE 1.4x,420,4,420,4,2380,12845.8,2026-09-16,body-a1ii|lens-fe300f28|tc-sony14,component sum
a1ii-400f28,Sony,Sony — Alpha 1 II — FE 400mm F2.8 GM OSS,Sony — Alpha 1 II — FE 400mm F2.8 GM OSS,Sony Alpha 1 II,FE 400mm F2.8 GM OSS,none,400,2.8,400,2.8,3638,18368,2026-08-28,body-a1ii|lens-fe400f28,component sum
a1ii-400f28-14x,Sony,Sony — Alpha 1 II — FE 400mm F2.8 GM OSS + FE 1.4×,Sony — Alpha 1 II — FE 400mm F2.8 GM OSS + FE 1.4×,Sony Alpha 1 II,FE 400mm F2.8 GM OSS,FE 1.4x,560,4,560,4,3805,18804.8,2026-08-28,body-a1ii|lens-fe400f28|tc-sony14,component sum
a1ii-fe400f45,Sony,Sony — Alpha 1 II — FE 400mm F4.5 GM OSS,Sony — Alpha 1 II — FE 400mm F4.5 GM OSS,Sony Alpha 1 II,FE 400mm F4.5 GM OSS,none,400,4.5,400,4.5,1737,9014.71,2026-09-15,body-a1ii|lens-fe400f45,component sum; A1 II Swiss body snapshot + official Sony Europe launch-price estimate EUR 2800 converted at EUR/CHF 0.944895 on 2026-09-15; lens announced 2026-09-15
a1ii-fe400f45-14x,Sony,Sony — Alpha 1 II — FE 400mm F4.5 GM OSS + FE 1.4×,Sony — Alpha 1 II — FE 400mm F4.5 GM OSS + FE 1.4×,Sony Alpha 1 II,FE 400mm F4.5 GM OSS,FE 1.4x,560,6.3,560,6.3,1904,9451.51,2026-09-16,body-a1ii|lens-fe400f45|tc-sony14,component sum; Sony official compatibility; launch-price estimate basis retained
